distance,perc,amenity
0.3177,2.330098025,supermarket
0.3185,2.334929247,supermarket
0.3203,2.351999562,supermarket
0.3205,2.363433452,supermarket
0.3216,2.379054401,supermarket
0.323,2.38565707,supermarket
0.3242,2.389361007,supermarket
0.3245,2.398057205,supermarket
0.3264,2.409491095,supermarket
0.3273,2.413517113,supermarket
0.3279,2.414000235,supermarket
0.3286,2.423501637,supermarket
0.3289,2.423823718,supermarket
0.3294,2.427044533,supermarket
0.3306,2.429621184,supermarket
0.3309,2.430426387,supermarket
0.331,2.609986779,supermarket
0.3314,2.641389717,supermarket
0.3321,2.642839083,supermarket
0.3336,2.643161165,supermarket
0.3355,2.652018404,supermarket
0.3358,2.657010666,supermarket
0.3365,2.658137951,supermarket
0.3373,2.661036683,supermarket
0.3375,2.671182248,supermarket
0.3379,2.693244825,supermarket
0.3387,2.695177314,supermarket
0.3397,2.711764507,supermarket
0.3406,2.72384256,supermarket
0.3409,2.727385456,supermarket
0.3412,2.731089392,supermarket
0.3417,2.736081654,supermarket
0.3421,2.756694865,supermarket
0.3422,2.768933959,supermarket
0.3433,2.782944501,supermarket
0.3434,2.796632961,supermarket
0.344,2.803557711,supermarket
0.3458,2.817568253,supermarket
0.3461,2.83496065,supermarket
0.3463,2.867490873,supermarket
0.3464,2.888104084,supermarket
0.3468,2.90533544,supermarket
0.3469,2.921922633,supermarket
0.3471,2.934483808,supermarket
0.348,2.941247518,supermarket
0.3487,2.960733444,supermarket
0.3488,2.965403624,supermarket
0.3499,2.967497154,supermarket
0.3501,2.976032311,supermarket
0.3504,2.980863532,supermarket
0.3505,2.981346655,supermarket
0.3525,2.988915568,supermarket
0.3526,2.991331179,supermarket
0.3532,2.997289685,supermarket
0.3544,3.019352262,supermarket
0.3547,3.047534386,supermarket
0.3554,3.061061806,supermarket
0.356,3.067986556,supermarket
0.356,3.073945063,supermarket
0.3562,3.134979491,supermarket
0.3566,3.140293835,supermarket
0.3577,3.155914784,supermarket
0.3589,3.189250211,supermarket
0.3592,3.194242473,supermarket
0.3594,3.205998444,supermarket
0.3595,3.207608851,supermarket
0.3601,3.219847945,supermarket
0.3602,3.226611655,supermarket
0.3606,3.230476632,supermarket
0.3611,3.232731202,supermarket
0.3617,3.239978034,supermarket
0.3623,3.263167896,supermarket
0.3624,3.274279705,supermarket
0.3627,3.279110926,supermarket
0.3632,3.286196718,supermarket
0.3636,3.293282509,supermarket
0.3649,3.300529341,supermarket
0.3657,3.324685447,supermarket
0.3681,3.330482913,supermarket
0.3683,3.369615805,supermarket
0.3685,3.385075713,supermarket
0.3689,3.427912542,supermarket
0.369,3.496354844,supermarket
0.3691,3.501830228,supermarket
0.3693,3.503440635,supermarket
0.3695,3.514552444,supermarket
0.37,3.518578461,supermarket
0.3706,3.546438504,supermarket
0.3707,3.549176196,supermarket
0.371,3.552558051,supermarket
0.3714,3.591368862,supermarket
0.3718,3.609244381,supermarket
0.372,3.651598087,supermarket
0.3729,3.654657861,supermarket
0.3729,3.659328042,supermarket
0.3732,3.661582611,supermarket
0.3733,3.661743652,supermarket
0.3734,3.661904693,supermarket
0.3754,3.678813967,supermarket
0.3764,3.679941252,supermarket
0.3767,3.690569939,supermarket
0.3781,3.753858938,supermarket
0.3784,3.758207037,supermarket
0.3799,3.771734457,supermarket
0.3802,3.782524184,supermarket
0.3806,3.788965813,supermarket
0.381,3.791703505,supermarket
0.3813,3.797017848,supermarket
0.3819,3.801849069,supermarket
0.382,3.81328296,supermarket
0.3821,3.8177921,supermarket
0.3827,3.824233728,supermarket
0.3828,3.834379293,supermarket
0.3829,3.836633863,supermarket
0.3838,3.848872957,supermarket
0.3844,3.858857481,supermarket
0.3847,3.874800511,supermarket
0.386,3.878665488,supermarket
0.3864,3.882208383,supermarket
0.3877,3.885751279,supermarket
0.3877,3.896863088,supermarket
0.388,3.92005295,supermarket
0.3893,3.935512858,supermarket
0.3902,3.952100051,supermarket
0.391,3.95403254,supermarket
0.3911,3.954998784,supermarket
0.3911,3.966271634,supermarket
0.3919,3.981892583,supermarket
0.3923,3.983341949,supermarket
0.3941,4.010396788,supermarket
0.3945,4.015711132,supermarket
0.3946,4.031493121,supermarket
0.3949,4.034713935,supermarket
0.395,4.051301128,supermarket
0.3951,4.066761037,supermarket
0.3951,4.077228683,supermarket
0.3953,4.07883909,supermarket
0.3955,4.09027298,supermarket
0.3956,4.098002934,supermarket
0.3957,4.102834155,supermarket
0.3967,4.108631621,supermarket
0.3975,4.111530354,supermarket
0.398,4.112496598,supermarket
0.398,4.115073249,supermarket
0.3981,4.123447366,supermarket
0.3984,4.132787727,supermarket
0.3984,4.134559175,supermarket
0.3984,4.136652704,supermarket
0.3986,4.148730758,supermarket
0.399,4.168860846,supermarket
0.4,4.193500075,supermarket
0.4,4.200746907,supermarket
0.4016,4.222648443,supermarket
0.4016,4.263713824,supermarket
0.4018,4.272893145,supermarket
0.4018,4.317662462,supermarket
0.4024,4.32184952,supermarket
0.4028,4.32394305,supermarket
0.4029,4.347132912,supermarket
0.4039,4.37177214,supermarket
0.404,4.384172275,supermarket
0.405,4.391097025,supermarket
0.4056,4.5579352,supermarket
0.4061,4.571301579,supermarket
0.4061,4.572911986,supermarket
0.4064,4.590626464,supermarket
0.4068,4.664061028,supermarket
0.4069,4.67356243,supermarket
0.407,4.687411931,supermarket
0.407,4.689344419,supermarket
0.4079,4.6940146,supermarket
0.4082,4.70544849,supermarket
0.4085,4.724934416,supermarket
0.4085,4.730731882,supermarket
0.4087,4.740394324,supermarket
0.4098,4.821558842,supermarket
0.41,4.836535628,supermarket
0.4101,4.858115083,supermarket
0.4104,4.876151642,supermarket
0.4108,4.889034899,supermarket
0.4108,4.897892138,supermarket
0.4118,4.908842906,supermarket
0.4119,4.931388606,supermarket
0.4127,4.938635438,supermarket
0.4128,4.9436277,supermarket
0.4134,4.952001817,supermarket
0.4139,5.010942716,supermarket
0.4142,5.032039049,supermarket
0.4145,5.035742985,supermarket
0.4155,5.044600224,supermarket
0.4159,5.044922306,supermarket
0.4161,5.051524975,supermarket
0.4169,5.064891354,supermarket
0.4171,5.069561534,supermarket
0.4173,5.076969407,supermarket
0.4185,5.099837188,supermarket
0.4187,5.107406101,supermarket
0.4187,5.112881485,supermarket
0.4197,5.125764742,supermarket
0.4204,5.129951801,supermarket
0.4205,5.158456006,supermarket
0.4206,5.165702838,supermarket
0.4208,5.173110711,supermarket
0.4214,5.200004509,supermarket
0.4214,5.219168354,supermarket
0.4218,5.235594506,supermarket
0.4236,5.246384233,supermarket
0.4237,5.262327264,supermarket
0.4238,5.265548078,supermarket
0.424,5.294535406,supermarket
0.4241,5.296467894,supermarket
0.4242,5.305003052,supermarket
0.4252,5.357180242,supermarket
0.4267,5.358468567,supermarket
0.4271,5.364910196,supermarket
0.4278,5.377632412,supermarket
0.43,5.383751959,supermarket
0.4301,5.384718203,supermarket
0.4305,5.400983315,supermarket
0.4306,5.404687251,supermarket
0.4306,5.410645757,supermarket
0.4312,5.438344759,supermarket
0.4314,5.440438288,supermarket
0.4317,5.456381319,supermarket
0.432,5.465560639,supermarket
0.4324,5.475384122,supermarket
0.4325,5.491810275,supermarket
0.4329,5.510168916,supermarket
