geoid10,hospital,library,school,supermarket
245100104001019,3031.5,413.6,862.1,382.1
245100104001020,3099.6,481.7,930.2,450.2
245100104002000,1878.5,1492.8,663.9,567.1
245100104002001,1813.6,1557.6,599.0,502.2
245100104002002,1780.6,1671.5,566.4,469.2
245100104002003,1727.3,1511.1,512.7,309.6
245100104002004,1879.3,1410.0,664.7,343.4
245100104002005,1899.4,1389.8,684.8,363.6
245100104002006,2052.4,1498.1,837.8,516.6
245100104002007,2000.8,1446.5,786.2,465.0
245100104002008,1985.6,1385.6,767.7,524.4
245100104002009,2161.5,1323.7,946.9,625.7
245100104002010,2144.7,1306.9,930.1,608.8
245100104002013,2132.1,1238.9,914.4,596.2
245100104002014,2195.9,1175.0,978.3,617.6
245100104002015,2298.3,1094.0,1054.8,536.6
245100104002016,2221.7,1188.8,1007.1,631.4
245100104002017,2108.1,1215.9,893.5,572.2
245100104002018,2524.6,929.4,1108.3,372.0
245100104002020,2240.7,1321.8,1026.1,704.9
245100104002021,1872.3,1366.5,657.7,336.5
245100104002022,2654.0,925.5,1104.3,368.1
245100104002023,2231.8,1158.3,1017.2,600.9
245100104002024,3019.8,593.1,1041.6,464.8
245100105001000,1178.5,1046.0,501.0,848.5
245100105001001,1088.0,1189.2,585.9,758.0
245100105001002,1129.5,1230.7,627.4,662.3
245100105001003,1257.0,1357.2,523.0,535.9
245100105001004,1255.7,1307.3,655.9,669.4
245100105001005,1180.4,1231.3,628.9,660.5
245100105001006,1233.1,1165.6,630.2,794.3
245100105001007,1344.6,1210.6,740.4,756.8
245100105001008,1506.5,1359.7,651.2,664.1
245100105001009,1349.5,1347.7,709.0,721.9
245100105001010,1537.3,1771.2,322.7,681.1
245100105001011,1405.8,1504.6,550.5,563.4
245100105002000,1711.8,1707.9,497.2,855.5
245100105002001,1480.6,1478.7,577.5,639.8
245100105002002,1539.8,1538.0,485.6,843.9
245100105002003,1946.9,1682.5,733.7,742.0
245100105002004,1911.7,1647.3,698.5,706.8
245100105002005,1927.6,1556.4,713.0,616.2
245100105002006,1888.8,1624.5,675.6,683.9
245100105002007,1690.1,1685.3,475.6,744.8
245100105002008,1605.0,1601.1,390.4,748.8
245100105002009,1554.5,1652.0,339.9,698.3
245100105002010,1845.8,1736.7,509.5,535.2
245100105002011,1674.5,1772.0,459.9,818.3
245100105002012,1678.3,1726.3,463.7,822.1
245100105002013,1739.5,1735.6,524.9,794.2
245100105002014,1769.6,1765.7,555.0,824.2
245100105002015,1709.7,1756.1,495.1,853.5
245100201001000,1234.2,1435.4,632.8,645.7
245100201001001,899.7,1133.6,522.5,569.7
245100201001002,954.4,1188.3,422.9,437.5
245100201001004,1291.1,1305.6,324.8,229.4
245100201001005,1236.0,1360.2,269.7,284.1
245100201001006,1050.8,1284.7,673.6,462.9
245100201001007,1009.1,1243.0,551.9,564.7
245100201001008,1273.0,1506.9,487.8,430.5
245100201002000,1469.2,1703.1,254.6,626.7
