,pop_perc,distance,day,service,pop_perc_cum
0,0.0,0,-5,gas_station,0.0
1,27.389757582635553,0,-5,gas_station,27.389757582635553
2,35.628888768275054,1,-5,gas_station,63.01864635091061
3,22.63466671929816,2,-5,gas_station,85.65331307020877
4,9.4203792427973,3,-5,gas_station,95.07369231300606
5,3.1115080402828283,4,-5,gas_station,98.18520035328889
6,1.4289450181825358,5,-5,gas_station,99.61414537147142
7,0.125328741235623,6,-5,gas_station,99.73947411270704
8,0.07894723857362076,7,-5,gas_station,99.81842135128066
9,0.08684196243098284,8,-5,gas_station,99.90526331371164
10,0.09473668628834492,9,-5,gas_station,99.99999999999999
11,0.0,10,-5,gas_station,99.99999999999999
12,0.0,11,-5,gas_station,99.99999999999999
13,0.0,12,-5,gas_station,99.99999999999999
14,0.0,13,-5,gas_station,99.99999999999999
15,0.0,14,-5,gas_station,99.99999999999999
16,0.0,15,-5,gas_station,99.99999999999999
17,0.0,16,-5,gas_station,99.99999999999999
18,0.0,17,-5,gas_station,99.99999999999999
19,0.0,18,-5,gas_station,99.99999999999999
20,0.0,19,-5,gas_station,99.99999999999999
0,0.0,0,-4,gas_station,0.0
1,27.389757582635553,0,-4,gas_station,27.389757582635553
2,35.628888768275054,1,-4,gas_station,63.01864635091061
3,22.63466671929816,2,-4,gas_station,85.65331307020877
4,9.4203792427973,3,-4,gas_station,95.07369231300606
5,3.1115080402828283,4,-4,gas_station,98.18520035328889
6,1.4289450181825358,5,-4,gas_station,99.61414537147142
7,0.125328741235623,6,-4,gas_station,99.73947411270704
8,0.07894723857362076,7,-4,gas_station,99.81842135128066
9,0.08684196243098284,8,-4,gas_station,99.90526331371164
10,0.09473668628834492,9,-4,gas_station,99.99999999999999
11,0.0,10,-4,gas_station,99.99999999999999
12,0.0,11,-4,gas_station,99.99999999999999
13,0.0,12,-4,gas_station,99.99999999999999
14,0.0,13,-4,gas_station,99.99999999999999
15,0.0,14,-4,gas_station,99.99999999999999
16,0.0,15,-4,gas_station,99.99999999999999
17,0.0,16,-4,gas_station,99.99999999999999
18,0.0,17,-4,gas_station,99.99999999999999
19,0.0,18,-4,gas_station,99.99999999999999
20,0.0,19,-4,gas_station,99.99999999999999
0,0.0,0,-3,gas_station,0.0
1,26.45818016746683,0,-3,gas_station,26.45818016746683
2,36.286124529400446,1,-3,gas_station,62.744304696867275
3,22.84634400272368,2,-3,gas_station,85.59064869959096
4,9.48304361341511,3,-3,gas_station,95.07369231300606
5,3.1115080402828283,4,-3,gas_station,98.18520035328889
6,1.4289450181825358,5,-3,gas_station,99.61414537147142
7,0.125328741235623,6,-3,gas_station,99.73947411270704
8,0.07894723857362076,7,-3,gas_station,99.81842135128066
9,0.08684196243098284,8,-3,gas_station,99.90526331371164
10,0.09473668628834492,9,-3,gas_station,99.99999999999999
11,0.0,10,-3,gas_station,99.99999999999999
12,0.0,11,-3,gas_station,99.99999999999999
13,0.0,12,-3,gas_station,99.99999999999999
14,0.0,13,-3,gas_station,99.99999999999999
15,0.0,14,-3,gas_station,99.99999999999999
16,0.0,15,-3,gas_station,99.99999999999999
17,0.0,16,-3,gas_station,99.99999999999999
18,0.0,17,-3,gas_station,99.99999999999999
19,0.0,18,-3,gas_station,99.99999999999999
20,0.0,19,-3,gas_station,99.99999999999999
0,0.0,0,-2,gas_station,0.0
1,22.381048715380402,0,-2,gas_station,22.381048715380402
2,36.12724321177103,1,-2,gas_station,58.50829192715143
3,24.655222606541766,2,-2,gas_station,83.1635145336932
4,11.910177779312862,3,-2,gas_station,95.07369231300606
5,3.1115080402828283,4,-2,gas_station,98.18520035328889
6,1.4289450181825358,5,-2,gas_station,99.61414537147142
7,0.125328741235623,6,-2,gas_station,99.73947411270704
8,0.07894723857362076,7,-2,gas_station,99.81842135128066
9,0.08684196243098284,8,-2,gas_station,99.90526331371164
10,0.09473668628834492,9,-2,gas_station,99.99999999999999
11,0.0,10,-2,gas_station,99.99999999999999
12,0.0,11,-2,gas_station,99.99999999999999
13,0.0,12,-2,gas_station,99.99999999999999
14,0.0,13,-2,gas_station,99.99999999999999
15,0.0,14,-2,gas_station,99.99999999999999
16,0.0,15,-2,gas_station,99.99999999999999
17,0.0,16,-2,gas_station,99.99999999999999
18,0.0,17,-2,gas_station,99.99999999999999
19,0.0,18,-2,gas_station,99.99999999999999
20,0.0,19,-2,gas_station,99.99999999999999
0,0.0,0,-1,gas_station,0.0
1,21.999634869021598,0,-1,gas_station,21.999634869021598
2,35.28102749831004,1,-1,gas_station,57.28066236733164
3,25.315418889113666,2,-1,gas_station,82.5960812564453
4,11.97333557017176,3,-1,gas_station,94.56941682661706
5,3.1904552788564495,4,-1,gas_station,97.7598721054735
